"tabla","id","id_externo","nombre","longitud","latitud","cero_ign","altitud","provincia","pais","rio","automatica","propietario","abreviatura","url","localidad","real","nivel_alerta","nivel_evacuacion","nivel_aguas_bajas","tipo","has_obs","habilitar"
"ctp",7984,"Aguaraycito","Aguaraycito",-63.412,-21.39,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7985,"Ajtara","Ajtara",-65.961,-19.069,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7986,"Alcantari Aeropuerto","Alcantari Aeropuerto",-65.148,-19.239,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7987,"Alto de Cajas","Alto de Cajas",-64.47,-21.306,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7988,"Arpaja Alta (Incahuasi)","Arpaja Alta (Incahuasi)",-64.949,-20.675,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7989,"Atocha","Atocha",-66.243,-20.936,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7990,"Azurduy","Azurduy",-64.424,-20.105,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7991,"Berety","Berety",-64.038,-21.445,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7992,"Cachimayu","Cachimayu",-65.293,-19.147,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7993,"Caiza-D","Caiza-D",-65,-20,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7994,"Campanario","Campanario",-64.976,-21.512,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7995,"Canal El Molino","Canal El Molino",-64.999,-21.539,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7996,"Carrizal","Carrizal",-65.24,-21.439,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7997,"Casin","Casin",-65.217,-19.367,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7998,"Chaqui","Chaqui",-65.567,-19.583,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7999,"Chaquilla","Chaquilla",-66.144,-19.857,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8000,"Chilcara","Chilcara",-65.052,-21.007,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8001,"Chinoli","Chinoli",-65.383,-19.667,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8002,"Chuquiago","Chuquiago",-65.648,-21.562,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
